id Age Error Depth Thickness Outlier1 Outlier2 Type
KIA6551 10755 55 54.5 1 0.05 0.001 1
KIA6552 12070 60 136.5 1 0.05 0.001 1
KIA6553 13440 110 173.5 1 0.05 0.001 1
KIA6554 14220 70 197.5 1 0.05 0.001 1
KIA6555 15320 110 300.5 1 0.05 0.001 1
GifA96476 18920 130 449.5 1 0.05 0.001 1
GifA96477 19130 110 450.5 1 0.05 0.001 1
GifA96487 19040 120 459.5 1 0.05 0.001 1
GifA96489 19450 120 464.5 1 0.05 0.001 1
GifA96683 21380 180 467.5 1 0.05 0.001 1
GifA96490 19460 130 469.5 1 0.05 0.001 1
GifA96684 19510 160 470.5 1 0.05 0.001 1
GifA96492 19570 120 484.5 1 0.05 0.001 1
GifA96685 20800 190 521.5 1 0.05 0.001 1
KIA6556 20190 140 554.5 1 0.05 0.001 1
GifA96686 24330 220 594.5 1 0.05 0.001 1
GifA96491 20420 170 606.5 1 0.05 0.001 1
GifA96493 25540 200 624.5 1 0.05 0.001 1
KIA6557 25520 240 640.5 1 0.05 0.001 1
GifA96496 27450 200 670.5 1 0.05 0.001 1
GifA96497 28940 240 716.5 1 0.05 0.001 1
GifA96687 29670 260 737 2 0.05 0.001 1
GifA96688 31240 300 757.5 1 0.05 0.001 1
GifA96494 33420 370 790.5 1 0.05 0.001 1
GifA96689 33820 390 816.5 1 0.05 0.001 1
GifA96690 35480 550 827.5 1 0.05 0.001 1
KIA6558 38560 910 861.5 1 0.05 0.001 1
