id	Age	Error	Depth	Thickness	Outlier1	Outlier2	Type
OS-8347	3890	35	3	0	0.05	0.001	1
OS-8348	4070	80	10	0	0.05	0.001	1
OS-8349	8080	100	20	0	0.05	0.001	1
OS-8350	13050	100	37	0	0.05	0.001	1
OS-8351	16900	140	67	0	0.05	0.001	1
OS-8352	19950	100	93	0	0.05	0.001	1
OS-8353	24500	120	120	0	0.05	0.001	1
OS-8354	28100	190	143	0	0.05	0.001	1
OS-8355	30000	170	160	0	0.05	0.001	1
OS-8356	32800	200	177	0	0.05	0.001	1
OS-8357	34100	270	190	0	0.05	0.001	1
